Time
1163474
1162655
1162581
1161914
1167509
1174041
1177167
1173137
1174074
1175279
1174615
1176663
1174651
1176485
1176756
1178657
1190879
1178193
1187314
1223893
1259575
1484045
1481159
2588784
3755962
3666365
3440106
4534977
3655160
4862094
3749893
3814975
4923375
3534790
3586835
4084636
5092777
3724870
4707303
3830261
3648485
5060283
4229668
3519933
3386107
5350584
3973936
3487597
3750066
5547458
3742121
4230316
4382303
3492436
4653073
4259259
3411583
3646697
5686406
4002321
3746755
5064833
3639253
4222450
3613738
3594384
5944620
4037035
3744434
3539875
5580789
3956606
3573473
3646040
5487635
3930273
3516169
5300200
3846511
3512267
3965895
5944787
3600850
3860226
3509874
4909954
3609557
4144555
3604712
4737150
3639411
3536520
5157607
3569195
4105322
4132468
4233037
