irq:,Time
0,55
0,10
0,10
0,9
0,10
0,10
0,10
0,9
0,10
0,9
0,10
0,10
0,10
0,10
0,9
0,10
0,9
0,10
0,10
0,10
0,10
0,9
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,9
0,10
0,9
0,10
0,10
0,10
0,9
0,10
0,10
0,10
0,10
0,10
0,10
0,9
0,10
0,10
0,9
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,9
0,10
0,9
0,10
0,10
0,9
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,9
0,10
0,9
0,10
0,9
0,10
0,9
0,10
0,9
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,9
0,10
0,10
0,10
0,10
0,10
0,10
0,10
0,9
0,10
0,9
